select lokace_key, ",", KNODDEL_cisloknih, ",", knoddel_nazev, ",", LOKACE_SHORT, ",", count(kj_key), ",", "30.09.2025" from lokace left join kj on kj_ptr_owner = lokace_key left join knoddel on knoddel_key = lokace_ptr_knoddel group by lokace_key, lokace_short, knoddel_cisloknih, knoddel_nazev order by knoddel_cisloknih
 LOKACE_KEY CONSTANT KNODDEL_CISLOKNIH CONSTANT             KNODDEL_NAZEV CONSTANT LOKACE_SHORT CONSTANT       COUNT CONSTANT   CONSTANT
=========== ======== ================= ======== ========================= ======== ============ ======== =========== ======== ==========
       1217 ,                       11 ,        Velký mlýn                ,        MLY-HRAB     ,                123 ,        30.09.2025
       1218 ,                       11 ,        Velký mlýn                ,        MLY-POK      ,                 37 ,        30.09.2025
       1219 ,                       11 ,        Velký mlýn                ,        MLY-SELF     ,                  0 ,        30.09.2025
       1246 ,                       11 ,        Velký mlýn                ,        MLY-CAS      ,                 62 ,        30.09.2025
        540 ,                       13 ,        Hloubìtín                 ,        HLO-POK      ,                 13 ,        30.09.2025
        541 ,                       13 ,        Hloubìtín                 ,        HLO-HRAB     ,                 11 ,        30.09.2025
        585 ,                       13 ,        Hloubìtín                 ,        HLO-CHF      ,                  1 ,        30.09.2025
        586 ,                       13 ,        Hloubìtín                 ,        HLO-LITDE    ,               1355 ,        30.09.2025
        589 ,                       13 ,        Hloubìtín                 ,        HLO-PRSK     ,                 84 ,        30.09.2025
        734 ,                       13 ,        Hloubìtín                 ,        HLO-VSMS     ,                 48 ,        30.09.2025
        800 ,                       13 ,        Hloubìtín                 ,        HLO-DOPOR    ,                178 ,        30.09.2025
        939 ,                       13 ,        Hloubìtín                 ,        HLO-CAS      ,                  0 ,        30.09.2025
        959 ,                       13 ,        Hloubìtín                 ,        HLO-CASDE    ,                  1 ,        30.09.2025
       1119 ,                       13 ,        Hloubìtín                 ,        HLO-KOMDO    ,                110 ,        30.09.2025
       1120 ,                       13 ,        Hloubìtín                 ,        HLO-KOMDE    ,                 80 ,        30.09.2025
       1121 ,                       13 ,        Hloubìtín                 ,        HLO-LITDO    ,               3136 ,        30.09.2025
       1163 ,                       13 ,        Hloubìtín                 ,        HLO-SELF     ,                  1 ,        30.09.2025
        288 ,                       15 ,        Žižkov                    ,        HUS-KANC     ,                  0 ,        30.09.2025
        289 ,                       15 ,        Žižkov                    ,        HUS-HRAB     ,                410 ,        30.09.2025
        290 ,                       15 ,        Žižkov                    ,        HUS-CHFOND   ,                  0 ,        30.09.2025
        307 ,                       15 ,        Žižkov                    ,        HUS-BELDO    ,               4753 ,        30.09.2025
