lokace_id,kapacita_deskriptor,kapacita_och
544,PISTOLE (piktogram),A1
544,LEBKA (piktogram),A1
544,MILENCI (piktogram),A1
544,DÍVKA (piktogram),A1
544,E.T. (piktogram),A1
544,MÁG (piktogram),A1
1037,PISTOLE (piktogram),A1
608,PISTOLE (piktogram),A1
608,"MÁG, E.T. (piktogram)",A1
307,PISTOLE (piktogram),A1
324,ÚSMĚV (piktogram),A1
608,LEBKA (piktogram),A1
1037,LEBKA (piktogram),A1
517,E.T. (piktogram),A1
273,MILENCI (piktogram),A1
273,PISTOLE (piktogram),A1
663,PISTOLE (piktogram),A1
517,MÁG (piktogram),A1
1037,MILENCI (piktogram),A1
663,E.T. (piktogram),A1
840,E.T. (piktogram),A1
840,MÁG (piktogram),A1
663,MÁG (piktogram),A1
273,MÁG (piktogram),A1
247,MILENCI (piktogram),A1
247,PISTOLE (piktogram),A1
1121,MÁG (piktogram),A1
273,E.T. (piktogram),A1
247,E.T. (piktogram),A1
663,MILENCI (piktogram),A1
1121,E.T. (piktogram),A1
324,MILENCI (piktogram),A1
324,PISTOLE (piktogram),A1
247,MÁG (piktogram),A1
412,PISTOLE (piktogram),A1
412,E.T. (piktogram),A1
412,MÁG (piktogram),A1
324,E.T. (piktogram),A1
603,MILENCI (piktogram),A1
603,DÍVKA (piktogram),A1
603,PISTOLE (piktogram),A1
603,LEBKA (piktogram),A1
603,E.T. (piktogram),A1
603,MÁG (piktogram),A1
699,PISTOLE (piktogram),A1
699,LEBKA (piktogram),A1
699,MILENCI (piktogram),A1
493,PISTOLE (piktogram),A1
493,LEBKA (piktogram),A1
493,MILENCI (piktogram),A1
493,E.T. (piktogram),A1
493,MÁG (piktogram),A1
1209,DÍVKA (piktogram),A1
1209,MÁG (piktogram),A1
1209,LEBKA (piktogram),A1
324,MÁG (piktogram),A1
435,PISTOLE (piktogram),A1
435,MILENCI (piktogram),A1
435,MÁG (piktogram),A1
435,E.T. (piktogram),A1
324,LEBKA (piktogram),A1
1042,E.T. (piktogram),A1
1042,MÁG (piktogram),A1
389,PISTOLE (piktogram),A1
136,PISTOLE (piktogram),A1
395,MÁG (piktogram),A1
395,E.T. (piktogram),A1
875,E.T. (piktogram),A1
875,MÁG (piktogram),A1
593,PISTOLE (piktogram),A1
