lokace_id,lokace_short,lokace_short_norm,knoddel_cisloknih,knoddel_nazev,stav_fondu_celkem_zdroj,datum,pobocka_cislo,je_realokace
768,CIB3-DOPOR,CIB3-DOPOR,30.0,Cibulka,6,2025-09-30,30,False
1154,CI3-CASDO,CI3-CASDO,30.0,Cibulka,73,2025-09-30,30,False
912,CI3-LITDO,CI3-LITDO,30.0,Cibulka,1031,2025-09-30,30,True
718,DEJ-HRAB,DEJ-HRAB,38.0,Dejvice,165,2025-09-30,38,False
717,DEJ-PRSK2,DEJ-PRSK2,38.0,Dejvice,1,2025-09-30,38,False
928,DEJ-CASDO2,DEJ-CASDO2,38.0,Dejvice,404,2025-09-30,38,False
714,DEJ-NAU2,DEJ-NAU2,38.0,Dejvice,5290,2025-09-30,38,True
930,DEJ-AUDIO,DEJ-AUDIO,38.0,Dejvice,321,2025-09-30,38,False
1036,DEJ-LITML,DEJ-LITML,38.0,Dejvice,403,2025-09-30,38,True
751,DEJ-DOPOR2,DEJ-DOPOR2,38.0,Dejvice,275,2025-09-30,38,False
929,DEJ-CASDE,DEJ-CASDE,38.0,Dejvice,30,2025-09-30,38,False
1151,DEJ-KOMDO,DEJ-KOMDO,38.0,Dejvice,472,2025-09-30,38,True
926,DEJ-MAPY,DEJ-MAPY,38.0,Dejvice,378,2025-09-30,38,False
716,DEJ-PRSK1,DEJ-PRSK1,38.0,Dejvice,27,2025-09-30,38,False
719,DEJ-HRAB2,DEJ-HRAB2,38.0,Dejvice,3,2025-09-30,38,False
576,DEJ-POK,DEJ-POK,38.0,Dejvice,50,2025-09-30,38,False
713,DEJ-CIZJAZ,DEJ-CIZJAZ,38.0,Dejvice,1296,2025-09-30,38,True
927,DEJ-CASDO1,DEJ-CASDO1,38.0,Dejvice,282,2025-09-30,38,False
711,DEJ-BEL,DEJ-BEL,38.0,Dejvice,10448,2025-09-30,38,True
712,DEJ-NAU1,DEJ-NAU1,38.0,Dejvice,6335,2025-09-30,38,True
750,DEJ-DOPOR1,DEJ-DOPOR1,38.0,Dejvice,509,2025-09-30,38,False
715,DEJ-LITDE,DEJ-LITDE,38.0,Dejvice,5395,2025-09-30,38,True
207,DIT-BELDO,DIT-BELDO,51.0,Dittrichova,3302,2025-09-30,51,True
1020,DIT-DOMDE,DIT-DOMDE,51.0,Dittrichova,244,2025-09-30,51,True
209,DIT-CHFOND,DIT-CHFOND,51.0,Dittrichova,6,2025-09-30,51,False
213,DIT-NAUDO,DIT-NAUDO,51.0,Dittrichova,3443,2025-09-30,51,True
208,DIT-CASOP,DIT-CASOP,51.0,Dittrichova,268,2025-09-30,51,False
733,DIT-VSMS,DIT-VSMS,51.0,Dittrichova,108,2025-09-30,51,False
