lokace_id,oznaceni,typ
565,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Naučná - děti
1072,Komiksy pro děti,Beletrie - děti
1071,Komiksy pro dospělé,Beletrie - dospělí
1145,None,CD
888,None,Časopisy pro dospělé
223,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Sklad
223,LEBKA - horory,Sklad
223,MILENCI - pro ženy,Sklad
223,PISTOLE - detektivky,Sklad
223,MÁG - fantasy,Sklad
223,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Sklad
223,C - DOMÁCNOST.,Sklad
223,D - DĚJINY. DĚJEPIS.,Sklad
223,E - ZEMĚPIS. VLASTIVĚDA. ETNOGRAFIE.,Sklad
223,G - SPOLEČENSKÉ VĚDY.,Sklad
223,K - PŘÍRODNÍ VĚDY.,Sklad
223,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Sklad
223,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Sklad
223,P - LÉKAŘSTVÍ A ZDRAVOTNICTVÍ.,Sklad
223,R - JAZYKOVĚDA.,Sklad
223,S - UMĚNÍ.,Sklad
223,T - TECHNIKA.,Sklad
223,W - VOJENSTVÍ.,Sklad
223,X - LITERATURA.,Sklad
222,None,Dnes vrácené knihy
960,None,Deskové hry
496,DÍVKA - dívčí četba,Beletrie - děti
600,J - CIZOJAZYČNÁ BELETRIE.,Beletrie - děti
604,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Sklad
604,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Sklad
604,C - DOMÁCNOST.,Sklad
604,D - DĚJINY. DĚJEPIS.,Sklad
604,E - ZEMĚPIS. VLASTIVĚDA. ETNOGRAFIE.,Sklad
604,G - SPOLEČENSKÉ VĚDY.,Sklad
604,K - PŘÍRODNÍ VĚDY.,Sklad
604,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Sklad
604,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Sklad
604,O - PRÁVO. PRÁVNÍ VĚDA.,Sklad
604,P - LÉKAŘSTVÍ A ZDRAVOTNICTVÍ.,Sklad
604,R - JAZYKOVĚDA.,Sklad
604,S - UMĚNÍ.,Sklad
604,T - TECHNIKA.,Sklad
604,W - VOJENSTVÍ.,Sklad
604,X - LITERATURA.,Sklad
604,Y - TĚLESNÁ VÝCHOVA A SPORT,Sklad
604,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Sklad
604,V - HUDBA.,Sklad
775,None,Doporučujeme (dospělí)
776,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Doporučujeme (dospělí)
525,A2 - knížky pro předškolní děti v češtině,Beletrie - děti
