pobocka_cislo,lokace_short_norm,OCH,kapacita_realokace,lokace_id
18,KOR-DETI,T,40.0,380
18,KOR-DETI,U,25.0,380
18,KOR-DETI,V,40.0,380
18,KOR-DETI,X,25.0,380
18,KOR-DETI,Y,60.0,380
18,KOR-DETI,Z,40.0,380
18,KOR-DETI,,640.0,380
18,KOR-KOMDE,,200.0,994
18,KOR-KOMDO,,350.0,1141
18,KOR-NAUDO,C,400.0,376
18,KOR-NAUDO,D,1190.0,376
18,KOR-NAUDO,E,580.0,376
18,KOR-NAUDO,G,830.0,376
18,KOR-NAUDO,K,450.0,376
18,KOR-NAUDO,L,820.0,376
18,KOR-NAUDO,N,280.0,376
18,KOR-NAUDO,O,120.0,376
18,KOR-NAUDO,P,500.0,376
18,KOR-NAUDO,R,300.0,376
18,KOR-NAUDO,S,400.0,376
18,KOR-NAUDO,T,210.0,376
18,KOR-NAUDO,U,20.0,376
18,KOR-NAUDO,V,110.0,376
18,KOR-NAUDO,W,340.0,376
18,KOR-NAUDO,X,270.0,376
18,KOR-NAUDO,Y,200.0,376
18,KOR-NAUDO,Z,330.0,376
18,KOR-YA,A1,260.0,1209
21,HOS-BELDO,A1,2600.0,493
21,HOS-BELDO,B1,25.0,493
21,HOS-BELDO,B2,170.0,493
21,HOS-BELDO,J1,5.0,493
21,HOS-BELDO,J2,5.0,493
21,HOS-BELDO,J3,10.0,493
21,HOS-BELDO,J4,40.0,493
21,HOS-BELDO,,10.0,493
21,HOS-KOMDE,,120.0,1085
21,HOS-KOMDO,,110.0,1084
21,HOS-LITDE,A1,40.0,496
21,HOS-LITDE,A2,280.0,496
21,HOS-LITDE,A3,600.0,496
21,HOS-LITDE,A4,470.0,496
21,HOS-LITDE,B2,1.0,496
21,HOS-LITDE,C,51.0,496
21,HOS-LITDE,D,95.0,496
21,HOS-LITDE,E,25.0,496
21,HOS-LITDE,K,130.0,496
21,HOS-LITDE,L,21.0,496
21,HOS-LITDE,N,65.0,496
21,HOS-LITDE,P,21.0,496
21,HOS-LITDE,R,21.0,496
21,HOS-LITDE,S,21.0,496
21,HOS-LITDE,T,21.0,496
21,HOS-LITDE,U,15.0,496
21,HOS-LITDE,V,25.0,496
21,HOS-LITDE,X,40.0,496
21,HOS-LITDE,Y,40.0,496
21,HOS-LITDE,Z,10.0,496
21,HOS-LITDE,,432.0,496
21,HOS-NAUDO,C,191.0,494
21,HOS-NAUDO,D,450.0,494
21,HOS-NAUDO,E,271.0,494
21,HOS-NAUDO,G,201.0,494
21,HOS-NAUDO,K,220.0,494
21,HOS-NAUDO,L,291.0,494
21,HOS-NAUDO,N,131.0,494
21,HOS-NAUDO,O,31.0,494
21,HOS-NAUDO,P,131.0,494
21,HOS-NAUDO,R,95.0,494
21,HOS-NAUDO,S,201.0,494
21,HOS-NAUDO,T,71.0,494
21,HOS-NAUDO,U,11.0,494
21,HOS-NAUDO,V,61.0,494
21,HOS-NAUDO,W,100.0,494
21,HOS-NAUDO,X,111.0,494
21,HOS-NAUDO,Y,145.0,494
21,HOS-NAUDO,Z,125.0,494
24,JEZ-ATELI,C,70.0,1098
24,JEZ-BELDO,A1,1815.0,1100
24,JEZ-BELDO,B1,25.0,1100
24,JEZ-BELDO,B2,170.0,1100
24,JEZ-BELDO,J,10.0,1100
24,JEZ-BELDO,J1-J3,30.0,1100
24,JEZ-BELDO,J4,65.0,1100
24,JEZ-KOMDE,,130.0,1108
24,JEZ-KOMDO,,180.0,1109
24,JEZ-LEPOR,,250.0,1110
24,JEZ-LITDE,A1,20.0,1099
24,JEZ-LITDE,A2,250.0,1099
24,JEZ-LITDE,A2-A4,75.0,1099
24,JEZ-LITDE,A3,600.0,1099
24,JEZ-LITDE,B2,5.0,1099
24,JEZ-LITDE,C,70.0,1099
24,JEZ-LITDE,D,115.0,1099
24,JEZ-LITDE,E,40.0,1099
24,JEZ-LITDE,"G,O,W",5.0,1099
24,JEZ-LITDE,J1-J5,85.0,1099
24,JEZ-LITDE,K,180.0,1099
24,JEZ-LITDE,L,40.0,1099
24,JEZ-LITDE,N,90.0,1099
24,JEZ-LITDE,P,20.0,1099
24,JEZ-LITDE,R,35.0,1099
24,JEZ-LITDE,S,25.0,1099
24,JEZ-LITDE,T,25.0,1099
24,JEZ-LITDE,U,25.0,1099
24,JEZ-LITDE,V,20.0,1099
24,JEZ-LITDE,X,20.0,1099
24,JEZ-LITDE,Z,45.0,1099
24,JEZ-LITDE,,140.0,1099
24,JEZ-NAUDO,C,190.0,1112
24,JEZ-NAUDO,D,350.0,1112
24,JEZ-NAUDO,E,170.0,1112
24,JEZ-NAUDO,G,130.0,1112
24,JEZ-NAUDO,K,155.0,1112
24,JEZ-NAUDO,L,145.0,1112
24,JEZ-NAUDO,N,65.0,1112
24,JEZ-NAUDO,O,50.0,1112
24,JEZ-NAUDO,P,170.0,1112
24,JEZ-NAUDO,R,120.0,1112
24,JEZ-NAUDO,S,100.0,1112
24,JEZ-NAUDO,T,80.0,1112
24,JEZ-NAUDO,V,40.0,1112
24,JEZ-NAUDO,W,100.0,1112
24,JEZ-NAUDO,X,80.0,1112
24,JEZ-NAUDO,Y,85.0,1112
24,JEZ-NAUDO,Z,70.0,1112
24,JEZ-PRSK,A1,2150.0,1113
24,JEZ-ROD,AA,20.0,1115
24,JEZ-ROD,,140.0,1115
24,JEZ-TEENS,A1,585.0,1114
24,JEZ-TEENS,A4,395.0,1114
24,JEZ-TEENS,Y,70.0,1114
24,JEZ-ZIVOT,,120.0,1116
25,VIK-BELDO,A1,2780.0,567
25,VIK-BELDO,B1,65.0,567
